Student_ID,Participating_Course_Grade,FINAL_SAT_total,StudySemester_cumGPA,StudySemester_plusone_cumGPA,StudySemester_plustwo_cumGPA,StudySemester_plusthree_cumGPA,StudySemester_plusfour_cumGPA,StudySemester_plusfive_cumGPA,Q1.1_Writing_Attitudes_Survey,Q1.2_Writing_Attitudes_Survey,Q1.3_Writing_Attitudes_Survey,Q1.4_Writing_Attitudes_Survey,Q1.5_Writing_Attitudes_Survey,Q1.6_Writing_Attitudes_Survey,Q1.7_Writing_Attitudes_Survey,Q1.8_Writing_Attitudes_Survey,Q1.9_Writing_Attitudes_Survey,Q1.10_Writing_Attitudes_Survey,Q1.11_Writing_Attitudes_Survey,Q2.1_Writing_Attitudes_Survey,Q2.2_Writing_Attitudes_Survey,Q2.3_Writing_Attitudes_Survey,Q2.4_Writing_Attitudes_Survey,Q2.5_Writing_Attitudes_Survey,Q2.6_Writing_Attitudes_Survey,Q2.7_Writing_Attitudes_Survey,Q2.8_Writing_Attitudes_Survey,Q2.9_Writing_Attitudes_Survey,Q2.10_Writing_Attitudes_Survey,Q2.11_Writing_Attitudes_Survey,Q2.12_Writing_Attitudes_Survey,Q2.13_Writing_Attitudes_Survey,Q2.14_Writing_Attitudes_Survey,Q2.15_Writing_Attitudes_Survey,Q2.16_Writing_Attitudes_Survey,Q2.17_Writing_Attitudes_Survey,Q2.18_Writing_Attitudes_Survey,Q2.19_Writing_Attitudes_Survey,Q2.20_Writing_Attitudes_Survey,Q2.21_Writing_Attitudes_Survey,Q2.22_Writing_Attitudes_Survey,Q3.1_Writing_Attitudes_Survey,Q3.2_Writing_Attitudes_Survey,Q3.3_Writing_Attitudes_Survey,Q3.4_Writing_Attitudes_Survey,Q3.5_Writing_Attitudes_Survey,Q3.6_Writing_Attitudes_Survey,Q3.7_Writing_Attitudes_Survey,Q3.8_Writing_Attitudes_Survey,Q3.9_Writing_Attitudes_Survey,Q3.10_Writing_Attitudes_Survey,Q3.11_Writing_Attitudes_Survey,Q3.12_Writing_Attitudes_Survey,Q4.1_Writing_Attitudes_Survey,Q4.2_Writing_Attitudes_Survey,Q4.3_Writing_Attitudes_Survey,Q4.4_Writing_Attitudes_Survey,Q4.5_Writing_Attitudes_Survey,Q5.2_recoded_Writing_Attitudes_Survey,rQ4.2_Writing_Attitudes_Survey,rQ4.5_Writing_Attitudes_Survey,Survey_conf,Survey_Blf_Cont,Survey_Blf_Conv,Survey_G_Master,Survey_G_Perform,Survey_G_Avoid,Survey_Affection
WF0011,2,1060,2.727,2.414,2.636,2.224,2.137999999,2.085,Describes me very well,Describes me very well,Somewhat describes me,4,Describes me very well,Describes me very well,Describes me very well,4,2,Describes me very well,Describes me very well,Completely Sure,Completely Sure,90,80,80,80,80,Completely Sure,70,Completely Sure,Completely Sure,80,70,Completely Sure,70,Completely Sure,80,90,90,90,70,70,Neither agree nor disagree,Strongly Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Agree,Disagree,1,5,4,1890,23,14,19,24,10,19
WF0012,4,1120,4,4,4,4,4,4,4,4,4,Describes me very well,4,Describes me very well,4,4,4,Describes me very well,Describes me very well,80,90,Completely Sure,50/50 Chance,90,80,90,90,40,60,90,80,80,70,70,Completely Sure,80,70,80,Completely Sure,80,80,Strongly Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,2,3,4,1750,29,21,18,22,13,17
WF0013,4,1036.86,3.75,3.64,3.64,2.63,2.66,2.929,4,4,2,Somewhat describes me,4,Does not describe me at all,Does not describe me at all,Somewhat describes me,Does not describe me at all,Describes me very well,Somewhat describes me,50/50 Chance,60,80,70,90,60,80,80,60,30,70,70,50/50 Chance,50/50 Chance,30,Completely Sure,70,No Chance,50/50 Chance,No Chance,30,20,Neither agree nor disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2,3,3,1200,19,20,11,17,4,15
WF0014,2,1240,2.85106383,3.032258065,3.108108108,2.848837209,2.867346938,2.906542056,4,Describes me very well,2,Somewhat describes me,Describes me very well,Describes me very well,Describes me very well,Describes me very well,Does not describe me at all,Describes me very well,4,Completely Sure,60,70,Completely Sure,Completely Sure,90,90,Completely Sure,Completely Sure,90,80,40,90,Completely Sure,90,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,90,Agree,Disagree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Strongly Agree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,1,4,4,1990,27,18,16,25,8,21
WF0015,1,900,2.231,2.545,2.617999999,2.857,2.968999999,3.101,4,2,Somewhat describes me,4,Describes me very well,Describes me very well,Does not describe me at all,2,Somewhat describes me,4,Somewhat describes me,50/50 Chance,70,30,70,90,30,60,80,20,90,90,70,50/50 Chance,20,40,70,40,80,40,60,80,50/50 Chance,Neither agree nor disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,1,4,5,1280,19,20,12,18,11,22
WF0016,3.3,1160,2.21,2.61,2.75,2.93,2.92,2.92, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0017,3,1036.86,3.35,2.29,2.29,2.84,3.1,3.173,Describes me very well,4,Somewhat describes me,Describes me very well,4,4,4,Somewhat describes me,Somewhat describes me,4,Describes me very well,Completely Sure,90,Completely Sure,Completely Sure,80,80,90,Completely Sure,90,Completely Sure,Completely Sure,80,90,Completely Sure,50/50 Chance,Completely Sure,80,Completely Sure,80,90,90,Completely Sure,Strongly Agree,Agree,Strongly Agree,Disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2,4,3,1990,30,18,19,19,10,17
WF0018,3,1036.86,3.333,3.167, ,2.560999999, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0019,2,1110,2.875,2.928571429,2.604651163,2.27118644,2.418918918,2.459770115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0020,4,890,3.666666667,3.090909091,3.17142857,3.127659573,3.048387097, ,Describes me very well,Describes me very well,4,Describes me very well,Describes me very well,Describes me very well,Somewhat describes me,4,Somewhat describes me,Describes me very well,Describes me very well,80,50/50 Chance,90,60,70,Completely Sure,50/50 Chance,60,40,60,50/50 Chance,20,60,70,60,40,90,40,Completely Sure,10,20,30,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Disagree,1,3,4,1250,20,14,18,24,12,12
WF0021,2,970,2.323,2.674,3,2.89,3.12,3.188,Somewhat describes me,4,Somewhat describes me,Describes me very well,2,2,2,2,2,Somewhat describes me,4,60,40,70,40,70,60,50/50 Chance,70,50/50 Chance,50/50 Chance,40,20,50/50 Chance,40,30,70,50/50 Chance,50/50 Chance,60,70,60,40,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,1,3,3,1140,24,16,14,13,7,13
WF0022,3,1010,3.66,3.83,3.83,2.92,2.67,2.731, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0023,3,1210,3.824,3.912,3.942,3.952999999,3.962,3.968,4,Somewhat describes me,Somewhat describes me,4,4,4,Somewhat describes me,4,4,4,4,80,60,70,60,70,70,80,70,70,70,80,40,70,80,70,60,70,70,90,80,70,60,Agree,Agree,Neither agree nor disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly Agree,1,2,1,1540,23,17,15,19,11,14
WF0024,3,1036.86,3.533333333,3.25,3.266666667,3.015873016,3.012195122,3.115789474,Somewhat describes me,4,2,4,2,4,4,Somewhat describes me,2,Somewhat describes me,4,80,40,90,50/50 Chance,70,60,30,60,60,80,40,50/50 Chance,80,40,30,30,40,70,70,30,50/50 Chance,40,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,1,2,3,1190,19,19,15,16,8,11
WF0025,3,1180,3.333333333,3.59375,3.74,3.722222222,3.787234043,3.830508474,4,Somewhat describes me,Somewhat describes me,Somewhat describes me,2,4,Somewhat describes me,2,2,4,Somewhat describes me,60,20,70,50/50 Chance,70,20,10,40,40,50/50 Chance,30,10,80,50/50 Chance,20,60,60,50/50 Chance,50/50 Chance,30,30,40,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Strongly Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,1,3,2,940,17,15,13,15,9,11
WF0026,2,1080,2.12,2.17,1.95,1.82,1.78,1.78,Describes me very well,4,Somewhat describes me,4,4,4,Describes me very well,2,4,Describes me very well,Describes me very well,Completely Sure,60,80,40,80,90,70,Completely Sure,10,Completely Sure,80,No Chance,40,Completely Sure,80,Completely Sure,60,Completely Sure,60,70,No Chance,Completely Sure,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,1,4,5,1520,23,18,19,19,11,21
WF0027,0,1170,1.182,1.077, , , , ,Describes me very well,Describes me very well,Somewhat describes me,Describes me very well,4,4,4,Somewhat describes me,2,4,Describes me very well,90,Completely Sure,Completely Sure,Completely Sure,Completely Sure,Completely Sure,80,Completely Sure,80,Completely Sure,80,80,80,Completely Sure,80,90,90,90,90,80,90,90,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,1,4,5,1990,26,16,19,20,9,22
WF0028,4,1370,4,4,4,4,4,4,4,Describes me very well,Does not describe me at all,4,Somewhat describes me,4,Describes me very well,Somewhat describes me,Does not describe me at all,Describes me very well,4,Completely Sure,Completely Sure,80,80,Completely Sure,70,Completely Sure,Completely Sure,90,80,Completely Sure,60,80,90,Completely Sure,80,80,90,90,Completely Sure,90,80,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,1,4,2,1940,24,16,17,20,6,15
WF0029,3.3,1036.86,3.241,3.127, , , , ,Describes me very well,Somewhat describes me,4,Describes me very well,Describes me very well,Describes me very well,Describes me very well,2,Does not describe me at all,Describes me very well,Somewhat describes me,20,50/50 Chance,90,Completely Sure,30,50/50 Chance,60,50/50 Chance,10,50/50 Chance,70,Completely Sure,70,Completely Sure,20,80,Completely Sure,Completely Sure,70,60,50/50 Chance,90,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,1,4,5,1420,30,17,18,20,10,24
WF0030, ,970, ,3.571,3.333,3.294,3.281,3.355,Describes me very well,Describes me very well,Somewhat describes me,Describes me very well,Does not describe me at all,2,Describes me very well,4,Does not describe me at all,Describes me very well,Describes me very well,70,20,50/50 Chance,90,80,70,40,70,70,70,50/50 Chance,70,60,90,40,60,60,70,80,90,70,60,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,1,2,2,1430,21,17,20,17,6,13
WF0031,3.7,1150,3.06,2.98,2.93,2.9,2.9,2.9,Somewhat describes me,Somewhat describes me,Does not describe me at all,Somewhat describes me,2,Somewhat describes me,4,Somewhat describes me,Does not describe me at all,4,4,80,70,80,80,80,80,70,90,80,50/50 Chance,80,90,80,80,70,90,80,90,90,70,70,70,Agree,Strongly Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,1,2,4,1720,22,18,14,15,5,12
WF0032,4,950,3.3,2.86,2.86,3.04,3.12,3.028,Describes me very well,Describes me very well,4,Describes me very well,Describes me very well,Describes me very well,4,4,4,Describes me very well,Describes me very well,80,70,70,80,70,80,70,80,70,70,70,70,70,80,80,80,80,80,80,80,70,70,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Neither agree nor disagree,1,5,3,1650,24,24,19,24,13,20
WF0033,0,1036.86,0,0.2,0.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0034,4,1120,2.749,2.645, ,2.564,2.781, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0035,0,900,2.5, , ,2.5, , ,4,2,2,Somewhat describes me,Does not describe me at all,Somewhat describes me,Somewhat describes me,Does not describe me at all,Does not describe me at all,Somewhat describes me,4,50/50 Chance,60,80,90,60,70,70,70,70,80,50/50 Chance,10,40,70,50/50 Chance,70,60,10,60,60,60,50/50 Chance,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,1,2,2,1290,22,22,14,10,6,11
WF0036,4,1380,4,4,4,3.952,3.934,3.946,Somewhat describes me,Somewhat describes me,Does not describe me at all,4,4,Somewhat describes me,Describes me very well,4,Does not describe me at all,4,4,Completely Sure,90,90,80,Completely Sure,60,60,80,80,40,50/50 Chance,50/50 Chance,70,60,40,Completely Sure,80,80,60,50/50 Chance,40,50/50 Chance,Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,1,3,2,1510,21,20,16,18,5,15
WF0037,0,890,1.75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0038,3,1036.86,3,3.11,3.11,3.35,3.37,3.409, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0039,3,1036.86,1.84,1.59,1.59,1.88,2.25,2.486,4,4,4,4,4,4,4,4,4,4,4,50/50 Chance,70,70,50/50 Chance,60,40,70,70,60,70,60,40,40,40,40,80,60,50/50 Chance,40,30,40,40,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,1,3,3,1170,23,16,16,20,12,18
WF0040,3,1040,3.5,3.214,3.14,3.31,3.411,3.511,Describes me very well,Describes me very well,Does not describe me at all,Describes me very well,Describes me very well,Describes me very well,Describes me very well,4,Does not describe me at all,Describes me very well,Describes me very well,80,Completely Sure,80,90,70,80,90,90,90,90,90,70,60,80,90,90,80,80,90,Completely Sure,80,90,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,1,5,5,1860,23,15,20,24,7,24
WF0041,0,960,2.5,2, , , , ,Describes me very well,Describes me very well,Does not describe me at all,Describes me very well,Describes me very well,Describes me very well,Describes me very well,4,Does not describe me at all,Describes me very well,Describes me very well,80,90,Completely Sure,90,90,90,90,90,90,Completely Sure,Completely Sure,80,80,90,90,90,80,Completely Sure,Completely Sure,Completely Sure,90,90,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,1,4,4,2000,28,15,20,24,7,21
WF0042,1,890,2,2.429, , , , ,Somewhat describes me,Somewhat describes me,Somewhat describes me,Describes me very well,4,4,Somewhat describes me,Describes me very well,Describes me very well,Describes me very well,Describes me very well,40,40,90,Completely Sure,80,80,60,90,Completely Sure,70,Completely Sure,80,80,Completely Sure,40,Completely Sure,80,Completely Sure,90,80,Completely Sure,Completely Sure,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,1,2,3,1800,24,22,16,21,12,17
WF0043,4,1210,3.756,3.662,3.612,3.625999999,3.604,3.604,4,4,Somewhat describes me,Describes me very well,4,Describes me very well,2,Somewhat describes me,2,Describes me very well,Somewhat describes me,90,70,Completely Sure,50/50 Chance,80,60,80,80,70,40,70,80,80,60,80,Completely Sure,60,90,70,20,50/50 Chance,40,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,1,1,1,1520,22,18,14,21,10,6
WF0044,3,1036.86,3.4375, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0045,3.7,1040,2.138,2.138,2.402,2.289,2.134999999,2.379,Describes me very well,Describes me very well,2,Describes me very well,Somewhat describes me,2,Describes me very well,Somewhat describes me,2,4,Describes me very well,60,20,80,60,70,80,40,60,50/50 Chance,90,40,40,60,70,30,80,60,Completely Sure,80,90,70,70,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,1,4,4,1400,30,13,20,17,6,23
