Heading,Description,Response Options (if applicable),,,,
Ufeat_COLPREP,Aggregate measure related to collocation and preposition,,,,,
Ufeat_DIS_COH,Indication of discourse coherence,,,,,
Ufeat_GRAMMATICALITY,Aggregate value generated for relative grammaticality ,,,,,
Ufeat_GUMS101,Indication of sentence fragment errors ,,,,,
Ufeat_GUMS102,Indication of run-on sentences,,,,,
Ufeat_GUMS103,Indication of garbled sentences,,,,,
Ufeat_GUMS104,Indication of subject-verb agreement errors,,,,,
Ufeat_GUMS105,"Indication of ill-formed verbs (e.g., ""is go"" instead of ""is going, ""should of"" instead of ""should have"")",,,,,
Ufeat_GUMS106,Indication of pronoun errors ,,,,,
Ufeat_GUMS107,"Indication of possessive errors (e.g., a missing apostrophe)",,,,,
Ufeat_GUMS108,"Indication of errors pertaining to the absence or misuse of the word ""the"".",,,,,
Ufeat_GUMS109,"Measure indicating that grammar, usage, and/or mechanics errors occur in a setnence.",,,,,
Ufeat_GUMS201,Indication of determiner-noun agreement errors,,,,,
Ufeat_GUMS202,Indication of missing or extra articles,,,,,
Ufeat_GUMS203,"Indication of commonly confused words, including homophonous or near-homophonous words (e.g., stationary/stationery) ",,,,,
Ufeat_GUMS204,"Indication of word-form errors (e.g., nominal forms in place of verbs or verbs following determiners).",,,,,
Ufeat_GUMS205,"Indication of faulty comparisons (e.g., ""more better"")",,,,,
Ufeat_GUMS206,Indication of preposition errors,,,,,
Ufeat_GUMS207,"Indication of non-standard word form or verb errors (e.g., kinda, gonna)",,,,,
Ufeat_GUMS208,"Indication of negation errors (e.g., double negative)",,,,,
Ufeat_GUMS209,Indication of part of speech errors,,,,,
Ufeat_GUMS210,"Indication of article type errors (e.g., mistakenly using a definite article instead of an indefinite article)",,,,,
Ufeat_GUMS301,Indication of spelling errors,,,,,
Ufeat_GUMS302,Indication of errors pertaining to the capitalization of proper nouns,,,,,
Ufeat_GUMS303,Indication of missing initial capital letters,,,,,
Ufeat_GUMS304,Indication of missing question marks,,,,,
Ufeat_GUMS305,Indication of missing final punctuation,,,,,
Ufeat_GUMS306,Indication of missing apostrophes ,,,,,
Ufeat_GUMS307,Indication of missing commas,,,,,
Ufeat_GUMS308,Indication of hyphen errors,,,,,
Ufeat_GUMS309,"Indication of fused words errors (e.g., ""noone"", ""highschool"", ""everytime"")",,,,,
Ufeat_GUMS310,"Indication of compound word errors, which involve the erroneous division of compound words into separate words (e.g., ""an other"", ""drug store"", ""for ever"")",,,,,
Ufeat_GUMS311,"Indication of duplication errors, which are situations where two words are used when one is appropriate.  The words may be identical (e.g., I went to to the store.), or serve the same functional purpose (e.g., ""I drove to a some store"")",,,,,
Ufeat_GUMS312,Indication of extraneous comma errors,,,,,
Ufeat_GUMS401,Measure of repetition of words,,,,,
Ufeat_GUMS402,Number of inappropriate words or phrases,,,,,
Ufeat_GUMS403,Number of Sentences Beginning with Coordinating Conjunction,,,,,
Ufeat_GUMS404,Measure of number of short sentences,,,,,
Ufeat_GUMS405,Measure of number of long sentences,,,,,
Ufeat_GUMS406,Number of passive sentences,,,,,
Ufeat_GUMS501,Measure indicating the presence or absence of a thesis statement (sentences).,,,,,
Ufeat_GUMS502,Measure indicating the presence or absence of a main idea (sentences).,,,,,
Ufeat_GUMS503,Measure indicating the presence or absence of supporting details (sentences).,,,,,
Ufeat_GUMS504,Measure indicating the presence or absence of a conclusion statement (sentences).,,,,,
Ufeat_GUMS505,Measure indicating the presence or absence of introductory material (sentences).,,,,,
Ufeat_GUMS506,Microfeature: Other,,,,,
Ufeat_LOGDTA,Measure of idea development based on discourse units (GUMS501 - 506),,,,,
Ufeat_LOGDTU,Measure of organization based on discourse units (GUMS501 - 506) ,,,,,
Ufeat_SVF,Syntactic Variety (based on weighted combination of features),,,,,
Ufeat_WORDLN_2,Word length measure calculated based on the number of characters divided by the number of words,,,,,
Ufeat_k,"Last mention in the text of largest topic keyword, where largest topic may be considered the `main topic`.",,,,,
Ufeat_m,First mention in the text of largest topic keyword ,,,,,
Ufeat_m_minus_k,Number of words between first and last mention of the largest topic keyword,,,,,
Ufeat_m_minus_k_over_n,Number of words between first and last mention of the largest topic keyword / total number of words in the text,,,,,
Ufeat_sentences_between_m_and_k,Number of sentences between first and last mention of the largest topic keyword,,,,,
Ufeat_paragraphs_between_m_and_k,Number of paragraphs between first and last mention of the largest topic keyword,,,,,
Ufeat_TopicDev_largestElabTopic_4.5,Number of words associated with the largest topic,,,,,
Ufeat_TopicDev_largestElabTopic_4.5_logFr1000,Normalized number of words associated with the largest topic,,,,,
Ufeat_Sources,Number of in-text formal citations,,,,,
Ufeat_Sources_norm,Average number of in-text formal citations,,,,,
Ufeat_claims,"Number of claims terms (e.g., I agree that ...)",,,,,
Ufeat_claims_agnostic,Number of claims that are neither boosters nor hedges,,,,,
Ufeat_claims_agnostic_norm,Average number of claims that are neither boosters nor hedges,,,,,
Ufeat_claims_boost,"Number of claim booster terms (e.g., clearly, obviously)",,,,,
Ufeat_claims_boost_norm,Average number of claim booster terms,,,,,
Ufeat_claims_hedge,"Number of claim hedge terms (e.g., may, might)",,,,,
Ufeat_claims_hedge_norm,Average number of claim hedge terms,,,,,
Ufeat_claims_norm,Average number of claims,,,,,
Ufeat_complex_clauses,Number of sentences with 1 independent clause plus >= 1 dependent clauses.,,,,,
Ufeat_complex_clauses_norm,Average number of sentences with 1 independent clause plus >=1 dependent clauses,,,,,
Ufeat_contractions,Number of contractions,,,,,
Ufeat_contractions_norm,Average number of contractions,,,,,
Ufeat_gum_errors,"Number of grammar, usage, and mechanics errors (from e-rater)",,,,,
Ufeat_gum_errors_norm,"Average number of grammar, usage, and mechanics errors (from e-rater)",,,,,
Ufeat_pronouns,Number of pronouns,,,,,
Ufeat_pronouns_norm,Average number of pronouns,,,,,
Ufeat_section_and_citation_headers,Number of title and section headers,,,,,
Ufeat_section_and_citation_headers_norm,Average number of title and section headers,,,,,
Ufeat_sentence_count,Number of sentences.,,,,,
Ufeat_sentence_count_norm,Average Sentence Count (number of sentences/number of words),,,,,
Ufeat_transition_terms,Number of transition terms,,,,,
Ufeat_transition_terms_norm,Average number of transition terms,,,,,
Ufeat_typestokens,Type-token word ratio,,,,,
Ufeat_unnecessary_words,"Number of unnecessary words - ie., words
and expressions related to a set of 13
""unnecessary"" words and terms, such
as very, literally, and `a total of`.",,,,,
Ufeat_unnecessary_words_norm,"Average number of unnecessary words - ie., words
and expressions related to a set of 13
""unnecessary"" words and terms, such
as very, literally, and `a total of`.",,,,,
Ufeat_verb_choice,"Number of claim verbs (e.g., discuss)",,,,,
Ufeat_verb_choice_norm,"Average number of claim verbs (e.g., discuss)",,,,,
Ufeat_word_count,"Number of words in the text: i.e., identification of  white space in between words. Punctuation is not counted separately.",,,,,
GenreAnnotation_External_Sources_Required,"If the original assignment description from the course instructor was available, annotators indicated whether external sources were required.","? Yes = External sources required
? No = External sources not required
? Unsure/Blank = assignment description was not available",,,,
GenreAnnotation_Source_Use,"Regardless of explicit source requirements, annotators indicated whether students incorporated outside sources in their writing submissions. For the purpose of genre annotation, annotators treated both explicit references and citations as evidence of use of outside sources.","? Yes
? No
? Unsure",,,,
GenreAnnotation_Genre_Classification_Bin,"Annotators sorted writing assignments into 3 ""bins"" based on the aim and audience.

Bin 1 contained writing assignments with the aim of persuasion.  Given the transactional nature of persuasive writing, these assignments were written primarily for external audiences ? either a named hypothetical audience outside of the classroom (e.g., a prospective employer, a politician) or (implicitly or explicitly) for the instructor. These assignments contain substantial argumentative language, with the explicit aim of persuading the reader.

Bin 2 was used to categorize writing assignments ranging from informative writing to exploratory writing (i.e., analysis without explicitly stated argument).  Like Bin 1, these compositions were written primarily for an external audience ?outside of the classroom? or for the instructor.  Examples include expository essays, literary analyses, literature reviews, and compare/contrast essays. The key features of these essays are that (1) they do not involve explicit persuasion, and (2) they are written for an external audience (i.e. an audience other than the self).

Bin 3 was used to classify writing assignments with a reflective aim.  These writing submissions targeted the self as the primary audience (though in virtually all cases, the instructor served as an inferred, secondary audience).  Examples from these data included memoirs, self-reflection letters, and personal narratives.  The reflective nature these assignments is signaled by characteristics such as a high frequency of personal pronouns.
","1 = Persuasive
2 = Informative/Exploratory
3 = Reflective",,,,
GenreAnnotation_Writing_Aim,"This column signifies the ""writing aim"", and was autofilled based on the ""genre classification bin"" entry. 
1 = Persuade
2 = Inform/Explore
3 = Reflect","1 = Persuasive
2 = Informative/Exploratory
3 = Reflective",,,,
GenreAnnotation_Annotator,This column signifies which annotator classified this upload.,"? Annotator1
? Annotator2
? Annotator3",,,,
GenreAnnotation_Version,"If multiple versions of an assignment were submitted, annotators labeled the versions as ?Draft?, ?Final?, or ?Possible Duplicate?.  If only one version of an assignment was submitted, this was automatically labeled as ?Final?.  If the same student submitted identical versions of an assignment, each was flagged as a ?Possible Duplicate?.","? Draft
? Final
? Possible Duplicate",,,,
